,host
unknown,222550
F2Pool,60425
AntPool,52800
SlushPool,34073
BTC Guild,32936
BTC.com,32464
GHash.IO,23083
ViaBTC,19788
BitFury,19514
BTCC,18027
Poolin,16281
BTC.TOP,16254
BWPool,12733
Eligius,11387
Huobi.pool,7436
BitMinter,6464
50BTC,6393
KnCMiner,6291
Bixin,5754
BitClub,5672
OzCoin,4845
58COIN&1THash,4030
EclipseMC,3595
ASICMiner,3127
Binance Pool,2719
OKExPool,2594
Bitcoin.com,2471
KanoPool,2432
GBMiners,2093
DPOOL,1918
1Hash,1895
Telco 214,1830
CloudHashing,1825
Lubian.com,1585
21 Inc.,1509
WAYI.CN,1362
Polmine,1290
BytePool,1002
NovaBlock,934
Cointerra,908
MegaBigPower,816
58COIN,745
BTPOOL,703
digitalBTC,676
HHTT,623
Bitparking,583
MaxBTC,449
CanoePool,445
BATPOOL,441
Bitcoin Affiliate Network,438
SpiderPool,398
CoinLab,346
TripleMining,333
GoGreenLight,333
CANOE,321
okpool.top,313
SecretSuperstar,303
Tangpool,297
BTC Nuggets,293
tigerpool.net,285
Solo CK,241
Yourbtc.net,226
shawnp0wers,197
1M1X,188
ConnectBTC,153
BitcoinRussia,133
digitalX Mintsy,116
EXX&BW,116
BitcoinIndia,114
Waterhole,113
NMCbit,105
OKKONG,103
TATMAS Pool,99
MiningCity,92
sigmapool.com,91
CKPool,86
Mt Red,77
Helix,54
Sigmapool.com,52
8baochi,51
ST Mining Corp,48
Bitfarms,47
Hummerpool,46
PHash.IO,44
simplecoin.us,43
Eobot,42
MiningKings,41
mmpool,40
BTCDig,33
EMCDPool,32
TMSPool,31
Rawpool.com,29
HAOZHUZHU,26
transactioncoinmining,24
Bitsolo,22
175btc,22
NiceHash,20
tiger,20
DCEX,18
HotPool,17
A-XBT,16
BCMonster,16
Bravo Mining,13
haominer,10
myBTCcoin Pool,10
Bitcoin-Ukraine,10
BTCServ,9
bcpool.io,8
Foundry,6
UNOMP,6
Huobi,5
BTCMP,4
TBDice,4
DCExploration,3
Multipool,3
Patels,2
HASHPOOL,1
BTC Pool Party,1
Luxor,1
7pool,1
Nexious,1
Tricky's BTC Pool,1
HashBX,1
RigPool,1
EkanemBTC,1
